x, y
1974-1-11 17:42:45, 50.95438124842477
1978-1-3 6:5:31, 50.719566495841384
1979-2-4 22:57:48, 50.457447702259934
1981-2-9 3:55:8, 49.48752415357473
1983-1-7 5:40:46, 53.307569520289
1985-3-7 9:44:8, 50.31126606737797
1986-12-6 17:16:52, 44.33546164832395
1989-1-18 23:23:46, 42.86062337225909
1990-2-9 5:29:19, 50.676300092413676
1992-1-8 6:26:3, 46.15307065445686
1994-11-28 16:48:20, 43.682264975216334
1997-2-13 4:58:13, 50.10081492060825
2000-1-10 15:6:43, 47.09905065949761
2003-11-26 12:54:16, 53.29748802822818
2005-12-20 21:4:57, 51.88061833151306
2007-11-7 1:42:28, 53.32143157187264
2008-12-3 22:39:16, 57.64513147945896
1974-1-16 11:11:48, 39.2745526337898
1978-1-16 8:55:8, 41.01991094682013
1979-1-1 22:36:35, 37.14105687641771
1981-2-5 2:17:53, 37.496849533730995
1983-1-1 23:59:34, 30.72964798790221
1985-2-20 6:5:53, 31.75417961858355
1987-1-10 14:22:45, 31.381584474502226
1989-1-14 12:0:47, 31.0883810803999
1990-1-31 16:29:6, 31.40216752079308
1992-1-4 8:28:27, 29.243047971099724
1994-12-8 22:4:40, 30.061329076703352
1996-12-13 0:35:34, 26.726035453247082
1999-12-8 12:43:23, 25.8073594892044
2003-12-10 21:1:3, 23.223557086448796
2005-12-15 22:43:3, 21.059396790725028
2007-12-10 7:45:27, 15.132319583298328
2008-10-13 6:52:14, 12.848861631521466
1974-1-9 5:55:11, 9.683693186591615
1978-1-13 4:2:33, 8.376459716037974
1979-2-9 7:54:21, 12.869444677812316
1981-2-16 5:32:6, 13.385281021591195
1982-12-31 13:49:31, 16.60085692682517
1985-2-18 15:2:59, 18.36763841048475
1986-11-23 1:1:53, 24.530790557002437
1989-1-23 1:1:0, 26.694530790557003
1990-2-9 0:36:28, 18.203814164496347
1991-12-28 9:17:55, 24.39931109804251
1994-12-8 20:51:27, 26.89826094261951
1996-12-18 18:28:55, 24.20860287322524
1999-12-2 22:29:40, 27.768629757204067
2003-12-4 1:30:10, 24.48416365622112
2005-12-18 16:36:41, 28.106779803410905
2007-11-7 18:47:29, 32.58590271360161
2008-11-24 4:21:52, 30.04914727379652